tstart;tend;delta;web;value;type;path;overwrite;comment
2009-10-09T12:15:00;2009-10-09T12:15:00;1;False;lin_interp;str;all;;
2009-12-09T11:43:00;2009-12-09T11:43:00;1;False;lin_interp;str;all;;
2009-12-09T11:56:00;2009-12-09T11:56:00;1;False;lin_interp;str;all;;
2010-01-13T16:29:00;2010-01-13T16:45:00;17;False;lin_interp;str;all;;
2010-01-13T16:51:00;2010-01-13T16:57:00;7;False;lin_interp;str;all;;
2010-01-13T17:02:00;2010-01-14T15:09:00;1328;True;;;;1;unklar
2010-01-29T14:03:00;2010-01-29T14:05:00;3;False;lin_interp;str;all;;
2010-01-29T14:21:00;2010-01-29T14:22:00;2;False;lin_interp;str;all;;
2010-02-01T10:26:00;2010-02-01T10:28:00;3;False;lin_interp;str;all;;
2010-03-25T15:12:00;2010-03-25T15:13:00;2;False;lin_interp;str;all;;
2010-03-27T00:01:00;2010-03-27T12:11:00;731;True;;;;1;unklar
2010-07-09T11:04:00;2010-07-09T11:09:00;6;False;lin_interp;str;all;;
2010-07-09T11:13:00;2010-07-09T11:22:00;10;False;lin_interp;str;all;;
2010-09-15T11:14:00;2010-09-15T11:30:00;17;False;lin_interp;str;all;;
2010-09-15T13:04:00;2010-09-15T13:32:00;29;True;;;;1;neues Loggerprogamm
2010-09-15T16:56:00;2010-09-15T18:14:00;79;True;;;;1;neues Loggerprogamm
2010-09-16T09:06:00;2010-09-16T09:10:00;5;False;lin_interp;str;all;;
2010-09-16T10:38:00;2010-09-16T10:50:00;13;False;lin_interp;str;all;;
2010-09-16T11:22:00;2010-09-16T11:25:00;4;False;lin_interp;str;all;;
2010-09-16T13:08:00;2010-09-16T13:11:00;4;False;lin_interp;str;all;;
2010-09-16T14:02:00;2010-09-16T14:07:00;6;False;lin_interp;str;all;;
2010-09-16T15:01:00;2010-09-16T15:08:00;8;False;lin_interp;str;all;;
2010-09-16T15:17:00;2010-09-16T15:26:00;10;False;lin_interp;str;all;;
2010-09-16T15:36:00;2010-09-16T15:44:00;9;False;lin_interp;str;all;;
2010-09-16T16:41:00;2010-09-16T16:51:00;11;False;lin_interp;str;all;;
2010-09-16T16:56:00;2010-09-16T17:00:00;5;False;lin_interp;str;all;;
2010-09-20T13:57:00;2010-09-20T14:10:00;14;False;lin_interp;str;all;;
2010-09-20T15:17:00;2010-09-20T15:22:00;6;False;lin_interp;str;all;;
2010-09-20T15:26:00;2010-09-20T15:31:00;6;False;lin_interp;str;all;;
2010-09-20T15:41:00;2010-09-20T15:48:00;8;False;lin_interp;str;all;;
2010-09-20T17:44:00;2010-09-20T17:50:00;7;False;lin_interp;str;all;;
2010-09-21T10:07:00;2010-09-21T10:22:00;16;False;lin_interp;str;all;;
2010-09-21T11:17:00;2010-09-27T14:13:00;8817;True;;;;1;neues Loggerprogamm, Daten vermutlich versehentlich geloescht
2010-11-10T15:48:00;2010-11-11T19:50:00;1683;True;;;;1;unklar
2010-11-13T00:02:00;2010-11-13T01:41:00;100;True;;;;1;Loggerprobleme
2010-11-14T00:02:00;2010-11-14T01:41:00;100;True;;;;1;Loggerprobleme
2010-11-15T00:02:00;2010-11-15T01:41:00;100;True;;;;1;Loggerprobleme
2010-11-16T00:02:00;2010-11-16T01:41:00;100;True;;;;1;Loggerprobleme
2010-11-17T00:02:00;2010-11-17T01:41:00;100;True;;;;1;Loggerprobleme
2010-11-18T18:13:00;2010-11-18T18:15:00;3;False;lin_interp;str;all;;
2010-11-18T18:21:00;2010-11-18T18:23:00;3;False;lin_interp;str;all;;
2010-11-18T18:30:00;2010-11-18T18:31:00;2;False;lin_interp;str;all;;
2010-12-06T16:53:00;2010-12-06T16:53:00;1;False;lin_interp;str;all;;
2010-12-06T18:12:00;2010-12-06T18:13:00;2;False;lin_interp;str;all;;
2011-01-13T14:47:00;2011-01-13T14:50:00;4;False;lin_interp;str;all;;
2011-04-01T11:07:00;2011-04-01T11:10:00;4;False;lin_interp;str;all;;
2011-04-01T11:26:00;2011-04-01T11:26:00;1;False;lin_interp;str;all;;
2012-04-03T00:01:00;2012-04-04T09:07:00;1987;True;;;;1;Stromausfall
2012-04-04T09:33:00;2012-04-04T09:42:00;10;False;lin_interp;str;all;;
2012-04-04T14:33:00;2012-04-04T14:37:00;5;False;lin_interp;str;all;;
2012-08-28T00:00:00;2012-08-30T00:00:00;2881;False;0;float;rr_01,rr_02,rr_03,rr_04,rr_05,rr_06,rr_07;1;Kalibrierung der Niederschlagsschreiber
2013-01-13T00:00:00;2013-02-08T00:00:00;37441;True;nan;float;rr_07;1;Niederschlag fehlerhaft
2013-02-10T00:00:00;2013-02-15T00:00:00;7201;False;nan;float;rr_06;1;Niederschlag fehlerhaft
2013-09-12T15:34:00;2013-09-12T15:35:00;2;False;lin_interp;str;all;;
2013-09-13T08:37:00;2013-09-13T08:37:00;1;False;lin_interp;str;all;;
2013-09-25T13:36:00;2013-09-25T13:39:00;4;False;lin_interp;str;all;;
2014-03-20T00:00:00;2014-03-24T10:00:00;6361;True;nan;float;rr_07;1;Niederschlag fehlerhaft
2014-10-14T14:46:00;2014-10-14T14:47:00;2;False;lin_interp;str;all;;
2014-10-14T15:14:00;2014-10-14T15:14:00;1;False;lin_interp;str;all;;
2014-10-14T15:17:00;2014-10-14T15:36:00;20;False;;;;;
2014-10-22T11:01:00;2014-10-22T11:01:00;1;False;lin_interp;str;all;;
2015-05-22T15:02:00;2015-05-22T15:13:00;12;False;lin_interp;str;all;;
2015-06-20T08:29:00;2015-06-20T08:29:00;1;False;lin_interp;str;all;;
2015-10-25T00:00:00;2015-12-22T15:00:00;84421;False;nan;float;rr_05;1;E (ehem. N in hdf5) Wippenzulauftrichter war ab, fehlerhafte Werte vermutl. ab Mitte Oktober
2015-11-24T15:00:00;2015-11-24T18:00:00;181;False;0;float;rr_03,rr_04,rr_09;1;Reinigung und Testlaeufe
2016-05-07T17:48:00;2016-05-07T17:51:00;4;False;0;float;rr_07;1;Vogel im Behaelter
2016-06-11T12:38:00;2016-06-11T12:38:00;1;False;lin_interp;str;all;;
2016-08-17T17:50:00;2016-08-23T14:45:00;8456;True;;;;1;Stromausfall
2016-09-08T06:56:00;2016-09-08T06:56:00;1;False;lin_interp;str;all;;
2016-09-15T12:49:00;2016-09-15T13:31:00;43;True;;;;1;Stromausfall
2016-10-07T05:00:00;2016-10-07T05:00:00;1;False;lin_interp;str;all;;
2016-10-17T09:54:00;2016-10-19T11:56:00;3003;True;;;;1;Stromausfall
2016-10-23T21:32:00;2016-10-24T10:10:00;759;True;;;;1;Stromausfall
2016-10-25T14:13:00;2016-10-25T14:13:00;1;False;lin_interp;str;all;;
2017-09-11T13:36:00;2017-09-11T13:41:00;6;False;lin_interp;str;all;1;IP-Aenderung
2017-09-11T13:38:00;2017-09-11T13:38:00;1;False;lin_interp;str;all;;
2017-10-04T07:34:00;2017-10-04T07:35:00;2;False;lin_interp;str;all;1;unklar
2018-04-09T17:07:00;2018-04-09T17:14:00;8;False;lin_interp;str;all;1;unklar
