tstart;tend;delta;web;value;type;path;overwrite;comment
2010-01-13T17:02:00;2010-01-14T15:09:00;1328;TRUE;;;;1;unklar
2010-03-27T00:01:00;2010-03-27T12:11:00;731;TRUE;;;;1;unklar
2010-09-15T13:04:00;2010-09-15T13:32:00;29;TRUE;;;;1;neues Loggerprogamm
2010-09-15T16:56:00;2010-09-15T18:14:00;79;TRUE;;;;1;neues Loggerprogamm
2010-09-21T11:17:00;2010-09-27T14:13:00;8817;TRUE;;;;1;neues Loggerprogamm, Daten vermutlich versehentlich geloescht
2010-11-10T15:48:00;2010-11-11T19:50:00;1683;TRUE;;;;1;unklar
2010-11-13T00:02:00;2010-11-13T01:41:00;100;TRUE;;;;1;Loggerprobleme
2010-11-14T00:02:00;2010-11-14T01:41:00;100;TRUE;;;;1;Loggerprobleme
2010-11-15T00:02:00;2010-11-15T01:41:00;100;TRUE;;;;1;Loggerprobleme
2010-11-16T00:02:00;2010-11-16T01:41:00;100;TRUE;;;;1;Loggerprobleme
2010-11-17T00:02:00;2010-11-17T01:41:00;100;TRUE;;;;1;Loggerprobleme
2012-04-03T00:01:00;2012-04-04T09:07:00;1987;TRUE;;;;1;Stromausfall
2012-08-28T00:00:00;2012-08-30T00:00:00;2881;FALSE;0;float;rr_01,rr_02,rr_03,rr_04,rr_05,rr_06,rr_07;1;Kalibrierung der Niederschlagsschreiber
2013-01-13T00:00:00;2013-02-08T00:00:00;37441;TRUE;nan;float;rr_07;1;Niederschlag fehlerhaft
2013-02-10T00:00:00;2013-02-15T00:00:00;7201;FALSE;nan;float;rr_06;1;Niederschlag fehlerhaft
2014-03-20T00:00:00;2014-03-24T10:00:00;6361;TRUE;nan;float;rr_07;1;Niederschlag fehlerhaft
2015-10-25T00:00:00;2015-12-22T15:00:00;84421;FALSE;nan;float;rr_05;1;E (ehem. N in hdf5) Wippenzulauftrichter war ab, fehlerhafte Werte vermutl. ab Mitte Oktober
2015-11-24T15:00:00;2015-11-24T18:00:00;181;FALSE;0;float;rr_03,rr_04,rr_09;1;Reinigung und Testlaeufe
2016-05-07T17:48:00;2016-05-07T17:51:00;4;FALSE;0;float;rr_07;1;Vogel im Behaelter
2016-08-17T17:50:00;2016-08-23T14:45:00;8456;TRUE;;;;1;Stromausfall
2016-09-15T12:49:00;2016-09-15T13:31:00;43;TRUE;;;;1;Stromausfall
2016-10-17T09:54:00;2016-10-19T11:56:00;3003;TRUE;;;;1;Stromausfall
2016-10-23T21:32:00;2016-10-24T10:10:00;759;TRUE;;;;1;Stromausfall
2017-09-11T13:36:00;2017-09-11T13:41:00;6;FALSE;lin_interp;str;all;1;IP-Aenderung
2017-10-04T07:34:00;2017-10-04T07:35:00;2;FALSE;lin_interp;str;all;1;unklar
2018-04-09T17:07:00;2018-04-09T17:14:00;8;False;lin_interp;str;all;1;unklar
