tstart;tend;delta;web;value;type;path;overwrite;comment
2010-01-13T17:02:00;2010-01-14T15:09:00;1328;True;;;;1;unklar
2010-03-27T00:01:00;2010-03-27T12:11:00;731;True;;;;1;unklar
2010-09-15T13:04:00;2010-09-15T13:32:00;29;True;;;;1;neues Loggerprogamm
2010-09-15T16:56:00;2010-09-15T18:14:00;79;True;;;;1;neues Loggerprogamm
2010-09-21T11:17:00;2010-09-27T14:13:00;8817;True;;;;1;neues Loggerprogamm, Daten vermutlich versehentlich geloescht
2010-11-10T15:48:00;2010-11-11T19:50:00;1683;True;;;;1;unklar
2010-11-13T00:02:00;2010-11-13T01:41:00;100;True;;;;1;Loggerprobleme
2010-11-14T00:02:00;2010-11-14T01:41:00;100;True;;;;1;Loggerprobleme
2010-11-15T00:02:00;2010-11-15T01:41:00;100;True;;;;1;Loggerprobleme
2010-11-16T00:02:00;2010-11-16T01:41:00;100;True;;;;1;Loggerprobleme
2010-11-17T00:02:00;2010-11-17T01:41:00;100;True;;;;1;Loggerprobleme
2012-04-03T00:01:00;2012-04-04T09:07:00;1987;True;;;;1;Stromausfall
2012-08-28T00:00:00;2012-08-30T00:00:00;2881;False;0;float;rr_01,rr_02,rr_03,rr_04,rr_05,rr_06,rr_07;;Kalibrierung der Niederschlagsschreiber
2013-01-13T00:00:00;2013-02-08T00:00:00;37441;True;nan;float;rr_07;;Niederschlag fehlerhaft
2013-02-10T00:00:00;2013-02-15T00:00:00;7201;False;nan;float;rr_06;;Niederschlag fehlerhaft
2014-03-20T00:00:00;2014-03-24T10:00:00;6361;True;nan;float;rr_07;;Niederschlag fehlerhaft
2015-10-25T00:00:00;2015-12-22T15:00:00;84421;False;nan;float;rr_05;;E (ehem. N in hdf5) Wippenzulauftrichter war ab, fehlerhafte Werte vermutl. ab Mitte Oktober
2015-11-24T15:00:00;2015-11-24T18:00:00;181;False;0;float;rr_03,rr_04,rr_09;;Reinigung und Testlaeufe
2016-05-07T17:48:00;2016-05-07T17:51:00;4;False;0;float;rr_07;;Vogel im Behaelter
2016-08-17T17:50:00;2016-08-23T14:45:00;8456;True;;;;1;Stromausfall
2016-09-15T12:49:00;2016-09-15T13:31:00;43;True;;;;1;Stromausfall
2016-10-17T09:54:00;2016-10-19T11:56:00;3003;True;;;;1;Stromausfall
2016-10-23T21:32:00;2016-10-24T10:10:00;759;True;;;;1;Stromausfall
2017-09-11T13:36:00;2017-09-11T13:41:00;6;False;lin_interp;str;all;1;IP-Aenderung
2017-10-04T07:34:00;2017-10-04T07:35:00;2;False;lin_interp;str;all;1;unklar
2018-04-09T17:07:00;2018-04-09T17:14:00;8;False;lin_interp;str;all;1;unklar
2018-06-07T15:00:00;2018-06-07T15:59:00;60;False;0;float;rr_03,rr_04,rr_05,rr_06,rr_07,rr_09,rr_10;;Gerätecheck
2018-06-26T10:00:00;2018-06-26T11:59:00;120;False;0;float;rr_03,rr_04,rr_05,rr_06,rr_07,rr_09,rr_10;;Gerätetest
2019-05-01T00:00:00;2019-05-06T12:00:00;7921;True;rr_10;float;rr_07;1;Niederschlag fehlerhaft
